scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
strong_shear,0.55,-2.33047255,1.06722474,0.492418725,2.062638732,3.011420693,2.952967242,2452.25,11.080182,1.18889,1,1.0672247,1.0672247,0.43233738,3,725.26369,3.381184
strong_shear,0.6,-2.67864285,1.06523561,0.4345974818,1.820437675,2.922419761,2.854543238,2214.5,10.927238,1.216466,1,1.0652356,1.0652356,0.38299742,3,655.80136,3.376785
strong_shear,0.65,-3.12005072,1.06155651,0.3761249433,1.575508478,2.836049204,2.758330916,1960.5,10.73941,1.24436,1,1.0615565,1.0615565,0.33376893,3,585.2469,3.349868
strong_shear,0.7,-3.7027064,1.05603346,0.3173742037,1.329413956,2.752231283,2.664305142,1709.5,10.536352,1.285905,1,1.0560335,1.0560335,0.28458779,3,513.96826,3.326081
strong_shear,0.75,-4.51459189,1.0484566,0.2587536084,1.08386458,2.670890556,2.572440785,1465.0,10.280149,1.351645,1,1.0484566,1.0484566,0.23538864,3,442.36171,3.311769
strong_shear,0.8,-5.7367061,1.03852285,0.2007192465,0.8407708137,2.59195381,2.48271271,1204.25,9.996733,1.432317,1,1.0385228,1.0385228,0.18610451,3,370.85848,3.247196
strong_shear,0.85,-7.81172834,1.02575654,0.143797255,0.602336533,2.515349999,2.395095785,990.25,9.610415,1.644015,1,1.0257565,1.0257565,0.13666648,3,299.934,3.30156
strong_shear,0.9,-12.19222652,1.0093041,0.08862947671,0.3712502839,2.441010171,2.309564878,688.25,9.170446,1.853871,1,1.0093041,1.0093041,0.087002976,2,230.11756,2.990863
strong_shear,0.942,-23.23080789,0.99126266,0.04427256693,0.1854484947,2.380265315,2.239312603,624.25,8.971132,3.366164,1,0.99126266,0.99126266,0.045056474,2,172.74111,3.613789
strong_shear,0.964,-44.98288539,0.97918713,0.02203720708,0.09230923717,2.349052272,2.203089137,503.25,8.554367,5.451784,1,0.97918713,0.97918713,0.022983976,2,143.23266,3.513514
strong_shear,0.9755,-89.72603697,0.97149716,0.01077381674,0.04512925802,2.332899602,2.184310591,349.25,8.147364,7.738882,1,0.97149716,0.97149716,0.011415279,2,127.91657,2.730295
